,Date,Sym,Order,Qty
0,2009-04-03 16:00:00,ABT,Buy,100
1,2009-04-13 16:00:00,ABT,Sell,100
2,2009-09-22 16:00:00,ACE,Buy,100
3,2009-09-29 16:00:00,ACE,Sell,100
4,2009-08-28 16:00:00,ACN,Buy,100
5,2009-09-04 16:00:00,ACN,Sell,100
6,2008-08-05 16:00:00,ADM,Buy,100
7,2008-08-12 16:00:00,ADM,Sell,100
8,2008-02-27 16:00:00,ADSK,Buy,100
9,2008-03-05 16:00:00,ADSK,Sell,100
10,2009-11-18 16:00:00,ADSK,Buy,100
11,2009-11-25 16:00:00,ADSK,Sell,100
12,2009-09-10 16:00:00,AEE,Buy,100
13,2009-09-17 16:00:00,AEE,Sell,100
14,2008-05-15 16:00:00,AEP,Buy,100
15,2008-05-22 16:00:00,AEP,Sell,100
16,2009-04-29 16:00:00,AET,Buy,100
17,2009-05-06 16:00:00,AET,Sell,100
18,2009-05-01 16:00:00,AGN,Buy,100
19,2009-05-08 16:00:00,AGN,Sell,100
20,2009-06-03 16:00:00,AIG,Buy,100
21,2009-06-10 16:00:00,AIG,Sell,100
22,2009-10-19 16:00:00,AIG,Buy,100
23,2009-10-26 16:00:00,AIG,Sell,100
24,2009-07-30 16:00:00,AKAM,Buy,100
25,2009-08-06 16:00:00,AKAM,Sell,100
26,2009-09-21 16:00:00,AMAT,Buy,100
27,2009-09-28 16:00:00,AMAT,Sell,100
28,2009-05-04 16:00:00,AMT,Buy,100
29,2009-05-11 16:00:00,AMT,Sell,100
30,2009-05-08 16:00:00,AMT,Buy,100
31,2009-05-15 16:00:00,AMT,Sell,100
32,2009-05-01 16:00:00,AON,Buy,100
33,2009-05-08 16:00:00,AON,Sell,100
34,2008-08-11 16:00:00,APD,Buy,100
35,2008-08-18 16:00:00,APD,Sell,100
36,2009-12-21 16:00:00,APD,Buy,100
37,2009-12-29 16:00:00,APD,Sell,100
38,2009-07-22 16:00:00,ATI,Buy,100
39,2009-07-29 16:00:00,ATI,Sell,100
40,2009-05-08 16:00:00,AZO,Buy,100
41,2009-05-15 16:00:00,AZO,Sell,100
42,2009-08-03 16:00:00,AZO,Buy,100
43,2009-08-10 16:00:00,AZO,Sell,100
44,2009-04-03 16:00:00,BAX,Buy,100
45,2009-04-13 16:00:00,BAX,Sell,100
46,2009-06-04 16:00:00,BAX,Buy,100
47,2009-06-11 16:00:00,BAX,Sell,100
48,2009-10-15 16:00:00,BAX,Buy,100
49,2009-10-22 16:00:00,BAX,Sell,100
50,2009-05-07 16:00:00,BBBY,Buy,100
51,2009-05-14 16:00:00,BBBY,Sell,100
52,2009-07-23 16:00:00,BCR,Buy,100
53,2009-07-30 16:00:00,BCR,Sell,100
54,2009-07-27 16:00:00,BCR,Buy,100
55,2009-08-03 16:00:00,BCR,Sell,100
56,2008-05-19 16:00:00,BDX,Buy,100
57,2008-05-27 16:00:00,BDX,Sell,100
58,2009-05-29 16:00:00,BF.B,Buy,100
59,2009-06-05 16:00:00,BF.B,Sell,100
60,2009-04-30 16:00:00,BLL,Buy,100
61,2009-05-07 16:00:00,BLL,Sell,100
62,2008-04-07 16:00:00,BMC,Buy,100
63,2008-04-14 16:00:00,BMC,Sell,100
64,2009-12-14 16:00:00,C,Buy,100
65,2009-12-21 16:00:00,C,Sell,100
66,2009-12-21 16:00:00,CAG,Buy,100
67,2009-12-29 16:00:00,CAG,Sell,100
68,2009-06-02 16:00:00,CAH,Buy,100
69,2009-06-09 16:00:00,CAH,Sell,100
70,2008-07-30 16:00:00,CBG,Buy,100
71,2008-08-06 16:00:00,CBG,Sell,100
